Index,Date,Bitcoin,Ethereum,Tether,BNB,Solana,Lido Staked Ether,XRP,USDC,Cardano,Dogecoin
53,2024-03-17 04.10.00,66514,3553.99,1.001,570.73,187.45,3549.2,0.610286,1.003,0.664991,0.145711
54,2024-03-17 04.20.45,66458,3551.48,0.99854,570.15,186.78,3547.61,0.610259,1.001,0.665951,0.146805
55,2024-03-17 04.31.30,66686,3564.08,1.001,574.32,186.97,3560.29,0.61303,1.002,0.669848,0.148045
56,2024-03-17 04.42.15,66374,3553.7,0.997728,571.09,185.53,3549.4,0.611852,0.998326,0.670645,0.148454
57,2024-03-17 04.52.59,66321,3548.93,0.997412,570.61,185.97,3553.67,0.611493,0.998811,0.670493,0.148668
58,2024-03-17 05.03.44,66426,3554.01,0.99931,570.11,186.04,3547.19,0.613164,1.0,0.668866,0.149344
59,2024-03-17 05.14.29,66683,3568.14,1.0,573.02,187.51,3561.02,0.616074,1.002,0.672542,0.150007
60,2024-03-17 05.25.14,67101,3586.93,1.0,576.1,189.28,3579.82,0.618973,1.005,0.678786,0.150621
61,2024-03-17 05.35.59,67197,3592.06,0.999183,576.88,191.85,3586.16,0.618333,1.001,0.680973,0.151115
62,2024-03-17 05.46.44,66734,3571.14,0.996695,571.74,190.53,3565.67,0.615222,0.997246,0.67562,0.149894
63,2024-03-17 05.57.29,66896,3582.67,0.999568,572.78,191.73,3577.34,0.61621,1.001,0.676985,0.14993
64,2024-03-17 06.08.13,67020,3589.22,0.999681,575.12,192.76,3583.12,0.617455,1.001,0.679048,0.15045
65,2024-03-17 06.18.58,67322,3599.9,1.0,577.44,193.06,3590.92,0.619193,1.003,0.681572,0.150985
66,2024-03-17 06.29.43,67015,3577.81,0.998025,575.2,192.15,3572.0,0.61571,0.998218,0.678491,0.149785
67,2024-03-17 06.40.28,67058,3580.06,0.997126,574.37,192.03,3573.44,0.615941,0.999773,0.678047,0.149624
68,2024-03-17 06.51.13,66879,3574.29,0.997841,572.61,191.53,3572.19,0.614388,0.998969,0.676758,0.14867
69,2024-03-17 07.01.58,66896,3575.99,0.997975,572.0,191.69,3573.42,0.614096,1.0,0.677419,0.148511
70,2024-03-17 07.12.42,67194,3593.84,1.002,574.63,193.21,3585.08,0.616429,1.002,0.68085,0.149371
71,2024-03-17 07.23.27,66903,3573.35,0.998037,571.45,192.0,3570.63,0.613634,0.997925,0.676688,0.148585
72,2024-03-17 07.34.12,66685,3556.24,0.997136,567.74,189.96,3550.55,0.611069,0.998366,0.673142,0.14756
73,2024-03-17 07.44.57,66784,3557.7,0.997625,568.07,190.46,3554.53,0.611316,1.0,0.6713,0.147761
74,2024-03-17 07.55.42,66507,3541.62,0.997095,564.62,189.43,3537.51,0.608696,0.997859,0.666823,0.146765
75,2024-03-17 08.06.27,67025,3564.91,1.004,566.66,191.04,3560.5,0.612161,1.005,0.673601,0.148318
76,2024-03-17 08.17.11,67022,3564.42,1.0,568.32,190.82,3557.38,0.612364,1.0,0.674761,0.148327
77,2024-03-17 08.27.56,66986,3563.5,0.998589,568.44,190.18,3554.28,0.612617,0.998953,0.674924,0.148448
78,2024-03-17 08.38.41,66993,3562.72,0.997569,567.83,190.43,3557.74,0.613491,0.999976,0.674792,0.148627
79,2024-03-17 08.49.26,66914,3558.29,0.998443,567.42,190.87,3554.87,0.613126,1.0,0.673688,0.148557
80,2024-03-17 09.00.11,66980,3568.77,0.999719,570.44,191.75,3561.31,0.6143,0.999718,0.675351,0.149133
81,2024-03-17 09.10.56,66886,3561.64,0.999486,570.67,192.19,3556.73,0.613345,0.998498,0.674016,0.148888
82,2024-03-17 09.21.41,67007,3567.96,0.99958,572.46,192.21,3564.09,0.614999,1.001,0.675293,0.1495
83,2024-03-17 09.32.26,67275,3585.01,1.0,576.8,192.24,3579.9,0.618437,1.001,0.6796,0.150614
84,2024-03-17 09.43.10,67329,3587.37,0.999351,577.77,191.51,3582.21,0.618104,1.001,0.678927,0.150517
85,2024-03-17 10.50.44,67746,3619.11,1.001,582.83,194.94,3613.53,0.620348,1.004,0.683157,0.151482
86,2024-03-17 11.01.12,68035,3636.66,1.0,587.68,195.65,3628.93,0.621161,1.002,0.684432,0.153548
87,2024-03-17 11.15.49,67971,3625.56,0.999578,587.46,195.69,3619.03,0.620321,1.001,0.684243,0.152842
88,2024-03-17 11.26.09,67770,3613.58,0.997099,584.84,194.15,3607.24,0.618513,0.998346,0.681372,0.152407
89,2024-03-17 11.39.36,68268,3627.56,0.999401,588.36,194.61,3619.66,0.622356,1.003,0.683411,0.153032
90,2024-03-17 11.54.11,67909,3608.9,0.999096,585.3,193.31,3602.2,0.618788,0.997846,0.678959,0.151557
91,2024-03-17 12.04.45,67942,3608.15,0.997984,585.0,193.35,3603.53,0.619094,0.999521,0.677613,0.151012
92,2024-03-17 12.19.48,67946,3606.47,0.998691,584.12,192.84,3602.06,0.618709,0.999476,0.67686,0.150864
93,2024-03-17 12.25.38,68003,3610.2,0.999497,584.64,193.12,3606.28,0.61923,1.0,0.677702,0.151274
94,2024-03-17 12.36.28,68356,3623.59,1.001,586.57,194.29,3617.95,0.621985,1.003,0.680973,0.152111
95,2024-03-17 12.51.22,68183,3615.67,0.999167,582.59,194.44,3610.18,0.620978,1.0,0.679167,0.152184
96,2024-03-17 13.01.50,68305,3626.96,1.0,583.67,194.74,3622.97,0.622553,1.001,0.682227,0.155233
